teams,num_chips,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,Total
Milwaukee Brewers,0,0.5987654321,0.5740740741,0.5679012346,0.5308641975,0.5864197531,0.4833333333,0.549382716,0.5925925926,0.5308641975,0.450617284,0.4197530864,0.5061728395,0.4567901235,0.512345679,0.5925925926,0.475308642,0.4938271605,0.5555555556,0.512345679,0.462962963,0.5,0.4135802469,0.4197530864,0.3456790123,0.4197530864,0.450617284,0.4567901235,0.4567901235,0.4814814815,0.4938271605,0.4482758621,0.452991453,0.5094196147
Tampa Bay Rays,0,0.475308642,0.4938271605,0.6111111111,0.5308641975,0.6172839506,0.6666666667,0.5925925926,0.5555555556,0.4938271605,0.4197530864,0.4938271605,0.475308642,0.5679012346,0.5555555556,0.5617283951,0.5925925926,0.5185185185,0.5987654321,0.4074074074,0.3765432099,0.4135802469,0.4320987654,0.3888888889,0.3395061728,0.3827160494,0.4259259259,0.4259259259,0.3888888889,0,0,0,0,0.5112025606
Arizona Diamondbacks,1,0.4938271605,0.549382716,0.5185185185,0.4567901235,0.3209876543,0.4166666667,0.524691358,0.5061728395,0.5740740741,0.4259259259,0.487654321,0.3950617284,0.5,0.5,0.5802469136,0.4012345679,0.4320987654,0.5061728395,0.5555555556,0.4691358025,0.475308642,0.3148148148,0.5185185185,0.6049382716,0.5679012346,0.524691358,0.6172839506,0.4012345679,0,0,0,0,0.5051440329
Minnesota Twins,0,0.4320987654,0.5061728395,0.537037037,0.4814814815,0.450617284,0.6,0.6234567901,0.4814814815,0.524691358,0.3641975309,0.512345679,0.4320987654,0.4074074074,0.4074074074,0.3888888889,0.5802469136,0.537037037,0.5432098765,0.487654321,0.5925925926,0.512345679,0.5679012346,0.5555555556,0.5802469136,0.524691358,0.4259259259,0.3888888889,0.4320987654,0.4197530864,0.4814814815,0.3862068966,0.452991453,0.5038132482
San Diego Padres,0,0.5555555556,0.5740740741,0.5061728395,0.549382716,0.487654321,0.6166666667,0.4320987654,0.4074074074,0.4382716049,0.4197530864,0.4567901235,0.475308642,0.4691358025,0.4691358025,0.4382716049,0.5555555556,0.462962963,0.3888888889,0.549382716,0.5432098765,0.5061728395,0.537037037,0.3950617284,0.4074074074,0.487654321,0.4691358025,0.4567901235,0.6049382716,0.4691358025,0.5617283951,0.4827586207,0.4017094017,0.5024260891
Chicago White Sox,1,0.3703703704,0.2530864198,0.3765432099,0.5,0.5740740741,0.5833333333,0.4444444444,0.3827160494,0.4135802469,0.4814814815,0.4691358025,0.450617284,0.3888888889,0.524691358,0.487654321,0.5432098765,0.487654321,0.549382716,0.4444444444,0.5555555556,0.6111111111,0.512345679,0.5308641975,0.5,0.512345679,0.5864197531,0.462962963,0.4938271605,0.4938271605,0.524691358,0.4689655172,0.5726495726,0.501641108
Cincinnati Reds,0,0.512345679,0.475308642,0.5061728395,0.3827160494,0.512345679,0.5166666667,0.462962963,0.4135802469,0.4197530864,0.4197530864,0.3950617284,0.4691358025,0.5555555556,0.5987654321,0.487654321,0.5617283951,0.4814814815,0.4567901235,0.4444444444,0.4938271605,0.450617284,0.4691358025,0.4259259259,0.4814814815,0.4074074074,0.524691358,0.5925925926,0.475308642,0.4691358025,0.5,0.5862068966,0.5641025641,0.5004082303
Washington Nationals,1,0.4074074074,0.4382716049,0.4382716049,0.3395061728,0.4012345679,0.4333333333,0.5740740741,0.5061728395,0.5987654321,0.5864197531,0.512345679,0.5925925926,0.5308641975,0.6049382716,0.4938271605,0.4259259259,0.3641975309,0.3641975309,0.450617284,0.4382716049,0.5,0.4135802469,0.512345679,0.512345679,0.4197530864,0.4135802469,0.4197530864,0.4012345679,0.4814814815,0.5432098765,0.4551724138,0.6324786325,0.4905215989
Baltimore Orioles,0,0.462962963,0.5617283951,0.6234567901,0.512345679,0.3209876543,0.4166666667,0.3333333333,0.2901234568,0.462962963,0.549382716,0.5,0.5925925926,0.524691358,0.5740740741,0.4259259259,0.4074074074,0.3950617284,0.4197530864,0.4259259259,0.4320987654,0.4567901235,0.4814814815,0.4382716049,0.4135802469,0.3888888889,0.4567901235,0.4814814815,0.487654321,0.6049382716,0.5432098765,0.4896551724,0.5384615385,0.4842801488
Miami Marlins,2,0.487654321,0.3827160494,0.5185185185,0.4259259259,0.4135802469,0.5166666667,0.3518518519,0.3888888889,0.475308642,0.487654321,0.4382716049,0.475308642,0.3827160494,0.4259259259,0.4444444444,0.4938271605,0.537037037,0.5185185185,0.4382716049,0.4814814815,0.512345679,0.512345679,0.5617283951,0.487654321,0.4691358025,0.487654321,0.3950617284,0.3333333333,0.5679012346,0.4938271605,0.4620689655,0.4358974359,0.4775329664
Detroit Tigers,0,0.537037037,0.5308641975,0.4814814815,0.4074074074,0.475308642,0.3833333333,0.2901234568,0.3950617284,0.3950617284,0.5308641975,0.4567901235,0.5555555556,0.5740740741,0.5432098765,0.5864197531,0.5,0.5308641975,0.4567901235,0.5432098765,0.5864197531,0.4382716049,0.4444444444,0.2654320988,0.3395061728,0.4074074074,0.487654321,0.4259259259,0.4012345679,0.487654321,0.3271604938,0.4137931034,0.452991453,0.4726242728
Colorado Rockies,0,0.2654320988,0.3765432099,0.3641975309,0.4197530864,0.4567901235,0.4333333333,0.4382716049,0.5617283951,0.537037037,0.462962963,0.4197530864,0.4074074074,0.4567901235,0.3950617284,0.450617284,0.512345679,0.5679012346,0.4567901235,0.5555555556,0.4691358025,0.4135802469,0.4197530864,0.4567901235,0.450617284,0.450617284,0.5061728395,0.4444444444,0.475308642,0.512345679,0.512345679,0.5310344828,0.452991453,0.4720454404
Pittsburgh Pirates,0,0.4382716049,0.4691358025,0.4691358025,0.3827160494,0.3765432099,0.3166666667,0.4259259259,0.5061728395,0.462962963,0.4814814815,0.6049382716,0.5432098765,0.5802469136,0.487654321,0.4444444444,0.3518518519,0.3827160494,0.4135802469,0.4197530864,0.4135802469,0.4135802469,0.4444444444,0.462962963,0.4444444444,0.3827160494,0.4259259259,0.4814814815,0.4259259259,0.487654321,0.450617284,0.4,0.452991453,0.4594752321
Kansas City Royals,1,0.5061728395,0.5308641975,0.3456790123,0.4012345679,0.4567901235,0.4333333333,0.3641975309,0.3580246914,0.4938271605,0.5,0.5864197531,0.549382716,0.5308641975,0.4444444444,0.4382716049,0.4135802469,0.4012345679,0.462962963,0.4259259259,0.3827160494,0.3456790123,0.3580246914,0.512345679,0.3827160494,0.4012345679,0.475308642,0.3950617284,0.4444444444,0.4135802469,0.462962963,0.4827586207,0.547008547,0.4595822941
